naslov,cena,starost,proizvajalec,letnik,velikost okvirja,material,velikost obročev,dolžina opisa,kategorija,posodobljeno,ogledi
MERIDA ONE-FORTY 800 (2019),1.700 €,Rabljeno,Merida,2019,M,Aluminij,27.5 col (650b),801,Trail in All-Mountain kolesa,29.07.2025,130
Merida one-forty 500,1.500 €,Rabljeno,Merida,2025,L,Aluminij,29 col,611,Trail in All-Mountain kolesa,08.10.2025,203
LAPIERRE ZESTY AM 8.9,2.200 €,Rabljeno,Lapierre,2021,M,Karbon,29 col,169,Enduro kolesa,06.10.2025,992
Stevens Whaka 2017 M,1.100 €,Rabljeno,Ostalo,2017,M,Aluminij,27.5 col (650b),443,Trail in All-Mountain kolesa,25.08.2025,75
Pivot firebird+ I9 carbon wheelset,4.000 €,Rabljeno,Pivot,2024,L,Karbon,29 col,208,Enduro kolesa,24.08.2025,877
Santa Cruz Nomad 2023,2.850 €,Rabljeno,Santa Cruz,2023,S,Karbon,Mullet (29 in 27.5),319,Enduro kolesa,09.10.2025,52
"Scott ransome 920 ,možna menjava",Po dogovoru,Rabljeno,Scott,2023,M,Aluminij,29 col,51,Enduro kolesa,16.09.2025,187
GIANT Trance X 29 1 - velikost S,1.800 €,Rabljeno,Giant,2022,S,Aluminij,29 col,459,Trail in All-Mountain kolesa,26.08.2025,211
SUNN PRIM S1 2024,1.500 €,Novo,Sunn,2024,M,Karbon,29 col,876,Prednje vzmetena / XC kolesa,12.10.2025,606
Gorsko kolo KTM Ultra Line,200 €,Rabljeno,KTM,2010 ali starejši,M,Aluminij,26 col,414,Prednje vzmetena / XC kolesa,26.08.2025,33
Kolo BALANCE 2.1,75 €,Rabljeno,Ostalo,2010 ali starejši,S,Aluminij,26 col,201,Prednje vzmetena / XC kolesa,30.07.2025,71
Scott Genius 740,1.500 €,Rabljeno,Scott,2018,M,Aluminij,27.5 col (650b),424,Trail in All-Mountain kolesa,08.10.2025,64
Scott voltage fr 720,800 €,Rabljeno,Scott,2017,M,Aluminij,27.5 col (650b),13,Downhill in Freeride kolesa,15.09.2025,366
GT Zaskar gorsko kolo,1.000 €,Rabljeno,GT,2018,M,Karbon,29 col,315,Prednje vzmetena / XC kolesa,04.08.2025,102
Giant regin M,1.400 €,Rabljeno,Giant,2021,M,Titan,27.5 col (650b),81,Enduro kolesa,22.08.2025,42
Ghost Riot AM AL 2024,1.800 €,Rabljeno,Ghost,2024,M,Aluminij,29 col,424,Enduro kolesa,16.09.2025,71
Orbea Occam M30 LT,2.000 €,Rabljeno,Orbea,2022,XL,Karbon,29 col,210,Trail in All-Mountain kolesa,07.08.2025,115
Scott gambler 920,1.300 €,Rabljeno,Scott,2021,M,Aluminij,29 col,354,Downhill in Freeride kolesa,04.10.2025,248
TREK X CALIBER 9 (2014),600 €,Rabljeno,Trek,2014,XL,Aluminij,29 col,345,Prednje vzmetena / XC kolesa,08.08.2025,69
Marin Alpin trail xr,2.600 €,Rabljeno,Marin,2023,XL,Aluminij,29 col,227,Enduro kolesa,29.07.2025,96
Specilaist kolo,2.500 €,Rabljeno,Specialized,2024,M,Karbon,29 col,48,Enduro kolesa,23.09.2025,22
Specilaized M5,500 €,Rabljeno,Specialized,2014,M,Aluminij,26 col,127,Enduro kolesa,08.09.2025,809
Scott ransom 930,1.400 €,Rabljeno,Scott,2020,M,Aluminij,29 col,267,Enduro kolesa,04.09.2025,399
Scott Scale 960 XL prodam,1.000 €,Rabljeno,Scott,2023,XL,Aluminij,29 col,1238,Prednje vzmetena / XC kolesa,05.10.2025,22
Giant Reign,1.500 €,Rabljeno,Giant,2017,L,Aluminij,27.5 col (650b),403,Enduro kolesa,05.08.2025,401
Lapierre zesty,750 €,Rabljeno,Lapierre,2013,M,Aluminij,27.5 col (650b),91,Enduro kolesa,06.10.2025,53
Moongoose Tyax,200 €,Rabljeno,Mongoose,Neznan,L,Aluminij,27.5 col (650b),208,Prednje vzmetena / XC kolesa,06.09.2025,76
Canyon Sender CFR,3.000 €,Rabljeno,Canyon,2021,M,Karbon,Mullet (29 in 27.5),529,Downhill in Freeride kolesa,07.10.2025,105
Commencal Meta DH 2 2012,550 €,Rabljeno,Commencal,2012,M,Aluminij,26 col,220,Downhill in Freeride kolesa,17.09.2025,588
CUBE Stereo 150 C:62 SL Actionteam  XL,2.250 €,Rabljeno,Cube,2022,XL,Karbon,29 col,897,Enduro kolesa,12.10.2025,284
GT ZASKAR LT PRO,1.400 €,Rabljeno,GT,2024,L,Aluminij,29 col,980,Trail in All-Mountain kolesa,04.10.2025,598
Haibike SEET HardFour 2.0,255 €,Rabljeno,Haibike,Neznan,Univerzalna velikost,Aluminij,24 col,135,Prednje vzmetena / XC kolesa,15.08.2025,313
Genesis RAZOR ZERO,250 €,Rabljeno,Ostalo,2016,XL,Aluminij,26 col,154,Gorska kolesa,09.08.2025,81
Specialized Epic Hardtail,1.350 €,Rabljeno,Specialized,2024,M,Karbon,29 col,176,Prednje vzmetena / XC kolesa,11.10.2025,964
IBIS HD6,5.600 €,Novo,Ibis,2025,Na voljo v več velikostih,Karbon,Mullet (29 in 27.5),2608,Enduro kolesa,11.10.2025,332
Rockrider XC 100s RACE,800 €,Rabljeno,Ostalo,2020,M,Aluminij,29 col,75,Trail in All-Mountain kolesa,08.09.2025,318
BMC twostroke 01 (L),2.000 €,Rabljeno,Ostalo,2022,L,Karbon,29 col,300,Prednje vzmetena / XC kolesa,11.08.2025,119
Cult maschina230,400 €,Rabljeno,Cult,2011,S,Aluminij,27.5 col (650b),44,Gorska kolesa,29.08.2025,24
Scott Genius LT,1.500 €,Rabljeno,Scott,2018,L,Karbon,27.5 col (650b),1079,Enduro kolesa,22.09.2025,64
GHOST Lector World cup 30,6.200 €,Rabljeno,Ghost,2024,M,Karbon,29 col,977,Gorska kolesa,21.08.2025,162
Trek slash 7,800 €,Rabljeno,Trek,2017,M,Aluminij,27.5 col (650b),299,Gorska kolesa,27.08.2025,412
Giant trance xl 2021 black,1.600 €,Rabljeno,Giant,2021,XL,Aluminij,27.5 col (650b),118,Trail in All-Mountain kolesa,22.09.2025,125
Gorsko kolo TREK MARLIN 7,540 €,Rabljeno,Trek,2019,XL,Aluminij,Na voljo v več velikostih,337,Prednje vzmetena / XC kolesa,23.07.2025,76
Trek Slash AXS,3.400 €,Rabljeno,Trek,2024,L,Aluminij,Mullet (29 in 27.5),218,Enduro kolesa,11.10.2025,250
Merida ONE-TWENTY 400 prodam/menjam za dirt jumperja,1.300 €,Rabljeno,Merida,2023,L,Aluminij,29 col,695,Enduro kolesa,02.10.2025,483
Trek Roscoe 8,850 €,Rabljeno,Trek,2021,XL,Aluminij,27.5 col (650b),1282,Prednje vzmetena / XC kolesa,28.09.2025,807
Giant reign er 29 e2,1.500 €,Rabljeno,Giant,2021,S,Aluminij,29 col,544,Trail in All-Mountain kolesa,06.08.2025,423
"Lapierre spicy CF fit karbon 29""",2.600 €,Rabljeno,Lapierre,2020,M,Karbon,29 col,283,Enduro kolesa,19.09.2025,393
Cube one 55 race carbon  2024,2.790 €,Novo,Cube,2024,L,Karbon,29 col,2507,Enduro kolesa,31.07.2025,835
IBIS RIPMO AF Okvir,2.739 €,Novo,Ibis,2025,Na voljo v več velikostih,Aluminij,Na voljo v več velikostih,943,Enduro kolesa,11.10.2025,120
Prodam ali menjam za dh,1.200 €,Rabljeno,Scott,2021,L,Aluminij,29 col,51,Enduro kolesa,27.09.2025,128
Ghost slamr 2.7,1.000 €,Rabljeno,Ghost,2018,M,Aluminij,27.5 col (650b),334,Enduro kolesa,02.10.2025,80
"Cannondale Scalpel HT Carbon 3 Highlighter, vel. L",1.850 €,Rabljeno,Cannondale,2024,L,Karbon,29 col,1563,Prednje vzmetena / XC kolesa,18.08.2025,656
Cube Stereo 150 C:62 Action Team 2021 29 col - air + coil,2.000 €,Rabljeno,Cube,2021,L,Karbon,29 col,942,Enduro kolesa,12.10.2025,455
2021 Commencal furious,2.450 €,Rabljeno,Commencal,2021,S,Aluminij,27.5 col (650b),315,Downhill in Freeride kolesa,27.09.2025,189
Trek remedy 8,1.700 €,Rabljeno,Trek,2020,L,Aluminij,27.5 col (650b),392,Enduro kolesa,10.10.2025,818
Commencal META kolo v odličnem stanju,1.500 €,Rabljeno,Commencal,2022,M,Aluminij,29 col,1138,Gorska kolesa,12.08.2025,175
"CUBE STEREO 150 C:62 RACE 29, 2022, velikost M",1.660 €,Rabljeno,Cube,2022,M,Karbon,29 col,660,Enduro kolesa,30.07.2025,227
Specialized Camber Comp 29 Carbon XL,1.395 €,Rabljeno,Specialized,2015,XL,Karbon,29 col,866,Trail in All-Mountain kolesa,30.08.2025,884
Specialized Stumpjumper Alloy S3,1.500 €,Rabljeno,Specialized,2022,M,Aluminij,29 col,388,Enduro kolesa,10.10.2025,508
"Giant trance, 27,5 col, 2016",900 €,Rabljeno,Giant,2016,M,Aluminij,27.5 col (650b),258,Enduro kolesa,24.08.2025,159
SPECIALIZED stumpjumper,1.150 €,Rabljeno,Specialized,2019,L,Aluminij,29 col,109,Gorska kolesa,22.08.2025,185
Orbea Rallon M20 2020,2.200 €,Rabljeno,Orbea,2020,XL,Karbon,29 col,529,Enduro kolesa,25.08.2025,083
Giant XTC full carbon,990 €,Rabljeno,Giant,Neznan,M,Karbon,27.5 col (650b),257,Prednje vzmetena / XC kolesa,24.09.2025,50
Specialized enduro comp 27.5,1.990 €,Rabljeno,Specialized,2018,M,Aluminij,27.5 col (650b),308,Enduro kolesa,03.09.2025,144
Specialized Enduro,600 €,Rabljeno,Specialized,2015,M,Aluminij,27.5 col (650b),191,Enduro kolesa,09.10.2025,69
Rocky Mountain Altitude A70 Coil Shimano,4.999 €,Novo,Ostalo,2024,L,Aluminij,29 col,2211,Enduro kolesa,10.10.2025,430
Cube Stereo - 29 carbon,1.599 €,Rabljeno,Cube,2022,L,Karbon,29 col,276,Enduro kolesa,17.08.2025,432
Scott Genious 950,1.700 €,Rabljeno,Scott,2024,M,Aluminij,27.5 col (650b),323,Enduro kolesa,02.10.2025,272
YT Capra CORE 3,2.400 €,Rabljeno,YT,2023,XXL,Karbon,29 col,458,Enduro kolesa,22.07.2025,144
Canyon Mullet Torque Al5,2.350 €,Rabljeno,Canyon,2023,M,Aluminij,Mullet (29 in 27.5),28,Enduro kolesa,08.10.2025,479
Devinci Wilson,2.500 €,Rabljeno,DeVinci,2022,L,Karbon,29 col,377,Downhill in Freeride kolesa,18.08.2025,344
YT Capra XXL,2.800 €,Rabljeno,YT,2019,XXL,Karbon,29 col,280,Enduro kolesa,10.10.2025,137
RAAW madonna v2.2,3.100 €,Rabljeno,Ostalo,2023,S,Aluminij,29 col,407,Enduro kolesa,09.10.2025,847
"Scott Contessa Active 10 CU 27,5"" S 2025",800 €,Novo,Scott,2025,S,Aluminij,27.5 col (650b),1354,Prednje vzmetena / XC kolesa,10.10.2025,148
"Cube Access WS C:62 (L) , 29'",1.600 €,Rabljeno,Cube,2024,L,Karbon,29 col,925,Prednje vzmetena / XC kolesa,09.08.2025,640
Vintage mtb decathlon,150 €,Rabljeno,Ostalo,2010 ali starejši,M,Jeklo,26 col,339,Prednje vzmetena / XC kolesa,11.09.2025,932
Vrhunsko XC kolo – Custom Build Scott Spark 940 Carbon M,3.390 €,Rabljeno,Scott,2023,M,Karbon,29 col,851,Prednje vzmetena / XC kolesa,06.08.2025,177
"Nakamura COUGAR 50, gorsko kolo",225 €,Rabljeno,Nakamura,2019,S,Aluminij,27.5 col (650b),384,Prednje vzmetena / XC kolesa,25.07.2025,160
Žensko gorsko kolo Dema,110 €,Rabljeno,Ostalo,2012,XS,Aluminij,26 col,208,Prednje vzmetena / XC kolesa,07.10.2025,73
Scott gambler 730,1.500 €,Rabljeno,Scott,2015,L,Aluminij,27.5 col (650b),372,Downhill in Freeride kolesa,02.09.2025,544
Bergamont Trailster 6,1.500 €,Rabljeno,Bergamont,2019,XL,Aluminij,29 col,496,Enduro kolesa,17.07.2025,158
Scott genius 940,3.300 €,Rabljeno,Scott,2024,S,Aluminij,29 col,93,Gorska kolesa,04.09.2025,96
Orbea Occam H10 2020 XL,2.800 €,Rabljeno,Orbea,2020,XL,Aluminij,29 col,516,Trail in All-Mountain kolesa,30.09.2025,26
Canyon Strive AL,Po dogovoru,Rabljeno,Canyon,2017,M,Aluminij,27.5 col (650b),319,Enduro kolesa,15.09.2025,479
Giant Glory,1.500 €,Rabljeno,Giant,2015,M,Aluminij,26 col,143,Trail in All-Mountain kolesa,08.10.2025,886
Cannondale Scalpel Carbon SE 2,2.350 €,Novo,Cannondale,2024,M,Karbon,29 col,576,Gorska kolesa,01.09.2025,401
gorsko kolo/ enduro kolo,800 €,Rabljeno,Specialized,2017,M,Aluminij,29 col,115,Enduro kolesa,27.08.2025,373
Giant Reign 2 M 2018 Neon Red,1.500 €,Rabljeno,Giant,2018,M,Aluminij,27.5 col (650b),268,Enduro kolesa,08.10.2025,126
Specialized Enduro Comp S5,2.600 €,Rabljeno,Specialized,2021,XL,Karbon,29 col,668,Enduro kolesa,24.09.2025,283
Genius 720 plus,1.000 €,Rabljeno,Scott,2017,L,Aluminij,27.5 col (650b),425,Trail in All-Mountain kolesa,26.08.2025,244
TREK MARLIN 7 Gen 2 2024 29col  M/L,700 €,Rabljeno,Trek,2024,Na voljo v več velikostih,Aluminij,29 col,182,Prednje vzmetena / XC kolesa,10.10.2025,48
Canyon Neuron AL 7.0 20 M Black,1.200 €,Rabljeno,Canyon,2020,M,Aluminij,29 col,116,Trail in All-Mountain kolesa,18.08.2025,905
Prodam polnovzmeteno gorsko kolo. Cube one 77.,1.900 €,Rabljeno,Cube,2022,L,Aluminij,29 col,1621,Enduro kolesa,29.09.2025,209
specialized enduro,2.550 €,Rabljeno,Specialized,2024,XL,Karbon,29 col,195,Enduro kolesa,07.10.2025,911
Orbea Laufey S,790 €,Rabljeno,Orbea,2021,S,Aluminij,29 col,201,Trail in All-Mountain kolesa,02.08.2025,187
Scott Scale 910 AXS,1.650 €,Rabljeno,Scott,2022,L,Karbon,29 col,442,Prednje vzmetena / XC kolesa,07.10.2025,003
GIANT 27.5col,1.200 €,Rabljeno,Giant,2017,M,Aluminij,27.5 col (650b),88,Enduro kolesa,18.08.2025,165
"GIANT STANCE 29  GX,ROCKSHOX,4 KLIPNE KOCNICE",1.550 €,Rabljeno,Giant,2022,XL,Aluminij,29 col,122,Gorska kolesa,12.09.2025,119
"Orbea Occam H20, XL",1.500 €,Rabljeno,Orbea,2021,XL,Aluminij,29 col,583,Trail in All-Mountain kolesa,27.09.2025,202
Prodam Scott Ransom 910 letnik 2024 – velikost L,1.870 €,Rabljeno,Scott,2024,L,Karbon,29 col,709,Enduro kolesa,23.09.2025,171
Specialized Enduro Comp,800 €,Rabljeno,Specialized,2015,M,Aluminij,29 col,268,Enduro kolesa,17.08.2025,035
Giant trance 2,850 €,Rabljeno,Giant,2014,L,Aluminij,27.5 col (650b),225,Gorska kolesa,23.08.2025,158
Kolo Giant Trance 2 XL Metallic Black 2023,2.000 €,Rabljeno,Giant,2023,XL,Aluminij,29 col,106,Enduro kolesa,27.07.2025,199
Wilier 503X Comp Alloy Hardtail Mountain Bike 2021 - L size,620 €,Rabljeno,Wilier,2021,L,Aluminij,29 col,566,Prednje vzmetena / XC kolesa,08.08.2025,222
Prodam kolo Gary Fisher,250 €,Rabljeno,Gary Fisher,2015,Univerzalna velikost,Aluminij,18 col,83,Gorska kolesa,07.09.2025,36
Specialized gorsko kolo Rockhopper Expert 27.5 oak green okvir S,750 €,Rabljeno,Specialized,2024,S,Aluminij,27.5 col (650b),597,Prednje vzmetena / XC kolesa,27.08.2025,184
GAINT REIGN 2 NOVO!!,2.800 €,Novo,Giant,2025,L,Aluminij,29 col,460,Enduro kolesa,10.08.2025,78
Giant talon 2022,300 €,Rabljeno,Giant,2022,M,Aluminij,29 col,84,Prednje vzmetena / XC kolesa,09.09.2025,325
Wildcard,950 €,Rabljeno,Ostalo,Neznan,M,Aluminij,27.5 col (650b),131,Enduro kolesa,16.08.2025,95
Last Allmountain enduro,1.500 €,Rabljeno,Ostalo,2015,M,Aluminij,27.5 col (650b),1253,Enduro kolesa,06.10.2025,71
Sunn KERN S2,1.300 €,Rabljeno,Sunn,2021,L,Aluminij,29 col,1030,Enduro kolesa,26.08.2025,79
Giant Reign 1,1.100 €,Rabljeno,Giant,2016,M,Aluminij,27.5 col (650b),86,Trail in All-Mountain kolesa,05.09.2025,80
2021 Cube Two15 HPC SL 29” velikost L,2.500 €,Rabljeno,Cube,2021,L,Karbon,29 col,1289,Downhill in Freeride kolesa,14.08.2025,414
Bold unplugged pro 24,3.000 €,Novo,Ostalo,2024,M,Karbon,Mullet (29 in 27.5),596,Enduro kolesa,07.10.2025,499
Fuji Nevada M,550 €,Rabljeno,Fuji,2023,M,Aluminij,27.5 col (650b),365,Prednje vzmetena / XC kolesa,23.08.2025,70
IBIS MOJA,3.700 €,Rabljeno,Ibis,2022,M,Karbon,27.5 col (650b),174,Gorska kolesa,29.07.2025,31
Merida One Forty 600,600 €,Rabljeno,Merida,2017,L,Aluminij,27.5 col (650b),63,Enduro kolesa,05.10.2025,148
Trek EX EVO,500 €,Rabljeno,Trek,2014,L,Aluminij,26 col,371,Trail in All-Mountain kolesa,06.09.2025,676
"Mondraker Foxy R, mullet, 2024, L",2.800 €,Rabljeno,Mondraker,2024,L,Aluminij,Mullet (29 in 27.5),124,Enduro kolesa,08.10.2025,35
SUNN SHAMANN XC S1 2025,3.710 €,Novo,Sunn,2025,L,Karbon,29 col,566,Trail in All-Mountain kolesa,12.10.2025,213
SPECIALIZED Pitch (S) 27.5,370 €,Rabljeno,Specialized,2022,S,Aluminij,27.5 col (650b),129,Prednje vzmetena / XC kolesa,11.10.2025,85
Trek Remedy 8,1.500 €,Rabljeno,Trek,2020,L,Aluminij,27.5 col (650b),274,Enduro kolesa,23.09.2025,240
YT Industries JEFFSY CF Pro Race  carbon,2.200 €,Rabljeno,YT,2017,L,Karbon,29 col,2102,Trail in All-Mountain kolesa,03.10.2025,069
YETI SB150,4.000 €,Rabljeno,Yeti,2024,M,Karbon,29 col,574,Enduro kolesa,10.09.2025,269
Trek 29 col,1.750 €,Rabljeno,Trek,2023,M,Karbon,29 col,1997,Prednje vzmetena / XC kolesa,14.09.2025,58
Kona process 153,1.800 €,Rabljeno,Kona,2022,L,Aluminij,27.5 col (650b),160,Trail in All-Mountain kolesa,21.09.2025,48
Specialized stumpjumper evo s4,2.649 €,Rabljeno,Specialized,2024,L,Karbon,29 col,175,Trail in All-Mountain kolesa,12.10.2025,731
Cube stereo 120 2022,1.500 €,Rabljeno,Cube,2022,S,Karbon,29 col,1301,Trail in All-Mountain kolesa,16.09.2025,649
Giant Reign 2 29,1.250 €,Rabljeno,Giant,2020,XL,Aluminij,29 col,461,Enduro kolesa,15.08.2025,320
NS Bikes Eccentric,870 €,Rabljeno,NS bikes,2020,L,Aluminij,27.5 col (650b),512,Prednje vzmetena / XC kolesa,23.09.2025,421
Torpado Noriker,2.000 €,Rabljeno,Ostalo,2023,M,Karbon,27.5 col (650b),295,Enduro kolesa,20.08.2025,70
Cube stereo race 27,950 €,Rabljeno,Cube,2016,M,Aluminij,27.5 col (650b),321,Enduro kolesa,05.08.2025,94
Scott scale 925,1.600 €,Rabljeno,Scott,2025,L,Karbon,29 col,368,Prednje vzmetena / XC kolesa,29.09.2025,76
Trek session 8 2021,1.870 €,Rabljeno,Trek,2021,M,Aluminij,27.5 col (650b),842,Downhill in Freeride kolesa,11.10.2025,189
Gorsko kolo Wilier Triestina MTB 101X XT 29 col,1.500 €,Rabljeno,Wilier,2020,L,Karbon,29 col,229,Trail in All-Mountain kolesa,28.09.2025,19
Scott spark 960,1.500 €,Rabljeno,Scott,2020,L,Aluminij,29 col,644,Trail in All-Mountain kolesa,03.10.2025,18
Norco Sight A2 29” (2023) L,2.550 €,Rabljeno,Norco,2023,L,Aluminij,29 col,915,Enduro kolesa,04.08.2025,451
Mondraker Dune R 2017 S,1.450 €,Rabljeno,Mondraker,2017,S,Aluminij,27.5 col (650b),585,Enduro kolesa,03.09.2025,153
Scott Spark RC Team SRAM XX T-Type,5.000 €,Rabljeno,Scott,2024,L,Karbon,29 col,678,Prednje vzmetena / XC kolesa,07.10.2025,289
Merida BIG.NINE 4000,900 €,Rabljeno,Merida,2020,M,Karbon,29 col,665,Prednje vzmetena / XC kolesa,01.08.2025,151
Rocky Mountain Slayer A50 Shimano,3.499 €,Novo,Ostalo,2024,M,Aluminij,Mullet (29 in 27.5),1581,Downhill in Freeride kolesa,11.10.2025,527
MTB Jamis dakar M full suspension,550 €,Rabljeno,Ostalo,2014,M,Aluminij,26 col,83,Enduro kolesa,23.09.2025,47
FUDJI,820 €,Rabljeno,Fuji,2025,M,Aluminij,29 col,128,Prednje vzmetena / XC kolesa,30.07.2025,135
CANNONDALE JEKYL 2020,2.000 €,Rabljeno,Cannondale,2020,Rabljeno,Karbon,29 col,429,Enduro kolesa,03.10.2025,228
"Nukeproof Mega 290 Al, vel. L, custom build + deli",2.700 €,Rabljeno,Nukeproof,2023,L,Aluminij,29 col,1848,Enduro kolesa,05.10.2025,72
KONA Process 153A,1.100 €,Rabljeno,Kona,2015,S,Aluminij,27.5 col (650b),825,Trail in All-Mountain kolesa,03.10.2025,586
Dema ravena 5 hardtail skoraj nerabljeno,480 €,Rabljeno,Ostalo,2023,M,Aluminij,29 col,358,Prednje vzmetena / XC kolesa,08.10.2025,135
orbea occam lt,2.300 €,Rabljeno,Orbea,2024,M,Karbon,29 col,89,Trail in All-Mountain kolesa,04.10.2025,38
Specialized Stumpjumper 2019 L,1.600 €,Rabljeno,Specialized,2019,L,Aluminij,29 col,287,Trail in All-Mountain kolesa,11.09.2025,41
Polnovzmeteno kolo Lapierre X-flow 312,550 €,Rabljeno,Lapierre,Neznan,M,Aluminij,26 col,377,Gorska kolesa,26.09.2025,62
Cannondale scalpel si-6 (menjam za dirt kolo),800 €,Rabljeno,Cannondale,2020,M,Aluminij,29 col,307,Prednje vzmetena / XC kolesa,14.09.2025,709
P: Muddyfox Colossus 400 29col,250 €,Rabljeno,Ostalo,2023,L,Aluminij,29 col,412,Prednje vzmetena / XC kolesa,07.09.2025,56
"Specialized Stumpjumper FSR Expert Carbon - 27,5/29 Mullet",1.200 €,Rabljeno,Specialized,2017,XL,Karbon,Mullet (29 in 27.5),2755,Trail in All-Mountain kolesa,05.08.2025,945
Norco Sight,1.300 €,Rabljeno,Norco,2019,M,Karbon,27.5 col (650b),50,Enduro kolesa,21.08.2025,115
"Specialized Enduro 2017 – velikost M (menjam, ker rabim L)",1.500 €,Rabljeno,Specialized,2017,M,Aluminij,27.5 col (650b),901,Enduro kolesa,15.09.2025,78
Gorsko kolo Ghost XL,300 €,Rabljeno,Ghost,Neznan,XL,Jeklo,29 col,89,Prednje vzmetena / XC kolesa,27.08.2025,107
Scott genius sl 700 ltd L X0,1.100 €,Rabljeno,Scott,2013,L,Karbon,27.5 col (650b),226,Enduro kolesa,14.09.2025,42
Santa cruz Nomad,720 €,Rabljeno,Santa Cruz,2013,S,Aluminij,26 col,387,Gorska kolesa,18.07.2025,344
SUNN PRIM S2 2025,1.150 €,Novo,Sunn,2024,L,Karbon,29 col,875,Prednje vzmetena / XC kolesa,11.10.2025,662
NORCO ARUM,1.700 €,Rabljeno,Norco,2019,S,Aluminij,27.5 col (650b),230,Downhill in Freeride kolesa,30.09.2025,196
giant,2.000 €,Rabljeno,Giant,2011,M,Aluminij,26 col,238,Gorska kolesa,29.09.2025,519
CANYON spectral WMN CF8 XS,2.000 €,Rabljeno,Canyon,2021,XS,Karbon,27.5 col (650b),99,Enduro kolesa,06.10.2025,956
Orbea Rallon M10,2.000 €,Rabljeno,Orbea,2020,L,Karbon,29 col,471,Enduro kolesa,18.09.2025,646
Prodajam vrhunsko ohranjeno kolo santa Cruz megatower c,4.000 €,Rabljeno,Santa Cruz,2021,L,Karbon,29 col,279,Enduro kolesa,11.09.2025,143
CUBE STEREO 120,1.100 €,Rabljeno,Cube,2020,M,Aluminij,29 col,22,Trail in All-Mountain kolesa,13.08.2025,410
SCOTT Genius 740,1.500 €,Rabljeno,Scott,2016,L,Aluminij,27.5 col (650b),688,Trail in All-Mountain kolesa,03.10.2025,068
Scott genius,500 €,Rabljeno,Scott,2014,M,Aluminij,26 col,130,Enduro kolesa,15.07.2025,528
Gorsko kolo TREK MARLIN 7,540 €,Rabljeno,Trek,2019,XL,Aluminij,Na voljo v več velikostih,337,Prednje vzmetena / XC kolesa,23.07.2025,217
Prodam kolo bergamont encore expert,1.050 €,Rabljeno,Bergamont,2018,S,Aluminij,27.5 col (650b),223,Enduro kolesa,21.09.2025,112
SANTA CRUZ V10,3.800 €,Rabljeno,Santa Cruz,2018,S,Karbon,27.5 col (650b),309,Downhill in Freeride kolesa,18.08.2025,629
Prodajam nakamuro fusion 3.2,225 €,Rabljeno,Nakamura,2022,M,Aluminij,29 col,288,Prednje vzmetena / XC kolesa,28.07.2025,298
SUNN TOX 27.5 col,350 €,Rabljeno,Sunn,2019,S,Aluminij,27.5 col (650b),219,Prednje vzmetena / XC kolesa,02.10.2025,91
Giant reign,1.300 €,Rabljeno,Giant,2017,M,Aluminij,27.5 col (650b),538,Gorska kolesa,26.09.2025,93
Prodajam gorsko kolo Ghost sl amr,1.050 €,Rabljeno,Ghost,2019,XL,Aluminij,29 col,240,Trail in All-Mountain kolesa,16.07.2025,333
GIANT TRANCE X 3,1.400 €,Rabljeno,Giant,2022,M,Aluminij,27.5 col (650b),287,Trail in All-Mountain kolesa,16.07.2025,243
Mondraker summum r 2022 mullet custom build,3.300 €,Rabljeno,Mondraker,2022,L,Aluminij,Mullet (29 in 27.5),463,Downhill in Freeride kolesa,08.08.2025,437
Norco Range C3 2023 L velikost,3.050 €,Rabljeno,Norco,2023,L,Karbon,29 col,542,Enduro kolesa,27.07.2025,282
Giant Trance 3,800 €,Rabljeno,Giant,2019,L,Aluminij,27.5 col (650b),1022,Trail in All-Mountain kolesa,22.07.2025,353
Yeti SB6c,2.500 €,Rabljeno,Yeti,2019,L,Karbon,27.5 col (650b),125,Trail in All-Mountain kolesa,18.08.2025,332
Trek Remedy 9.8,1.400 €,Rabljeno,Trek,2017,XL,Karbon,27.5 col (650b),277,Trail in All-Mountain kolesa,06.10.2025,25
Giant Trance 2021 27.5,1.600 €,Rabljeno,Giant,2021,M,Aluminij,27.5 col (650b),610,Trail in All-Mountain kolesa,10.10.2025,34
Univega ALPINA racelite 550,450 €,Rabljeno,Ostalo,Neznan,M,Jeklo,26 col,251,Prednje vzmetena / XC kolesa,30.08.2025,47
TREK SLASH 7,1.990 €,Rabljeno,Trek,2021,L,Aluminij,29 col,487,Enduro kolesa,04.08.2025,604
Canyon Spectral Mullet CF 8 CLLCTV 2022 vel. M,2.400 €,Rabljeno,Canyon,2022,M,Karbon,Mullet (29 in 27.5),1238,Enduro kolesa,13.08.2025,444
Giant Trance 2018,1.000 €,Rabljeno,Giant,2018,M,Aluminij,27.5 col (650b),206,Enduro kolesa,21.07.2025,335
CANYON Nerve XC F8,390 €,Rabljeno,Canyon,2012,S,Aluminij,26 col,610,Enduro kolesa,28.09.2025,287
Giant Glory L – Downhill kolo,1.500 €,Rabljeno,Giant,2017,L,Aluminij,27.5 col (650b),1197,Downhill in Freeride kolesa,07.09.2025,148
"GT Fury Carbon Pro, 2024, vel. L, 29'', kot nov! (LIMITED EDITION)",3.800 €,Rabljeno,GT,2024,L,Karbon,29 col,1425,Downhill in Freeride kolesa,03.08.2025,633
Trek Slash 8,2.000 €,Rabljeno,Trek,2022,L,Aluminij,29 col,471,Enduro kolesa,24.08.2025,551
